CRJ,Chittaranjan ,3 
JMT,Jamtara ,2 
VDS,Vidyasagar ,2 
MUW,Mathurapur ,2 
STL,Simultala ,2 
GHR,Gidhaur ,2 
JMU,Jamui ,2 
MNP,Mananpur ,2 
LKR,Luckeesarai Junction ,2 
BRYA,Barhiya ,3 
HTZ,Hathidah Junction ,2 
BARH,Barh ,3 
BKP,Bakhtiyarpur Junction ,5 
FUT,Fatuha Junction ,7 
DNR,Danapur ,5 
BTA,Bihta ,2 
ARA,Ara Junction ,3 
BEA,Bihiya ,3 
BYN,Banahi ,2 
RPR,Raghunathpur ,4 
TWG,Twining Ganj ,2 
DURE,Dumraon ,3 
BXR,Buxar ,3 
CSA,Chausa ,2 
GMR,Gahmar ,2 
BWH,Bhadaura ,3 
DLN,Dildarnagar Junction ,4 
ZNA,Zamania ,2 
DHA,Dheena ,2 
SLD,Sakaldiha ,2 
KCA,Kuchman ,2 
KEI,Kashi ,3 
SOP,Shivpur ,3 
BRPT,Birapatti ,2 
BTP,Babatpur ,2 
PDRD,Pindra Road ,2 
KSF,Khalispur ,2 
TLMD,Trilochan Mahadeo ,2 
JLL,JalalGanj ,2 
SIQ,Sarkoni ,2 
ZBD,Zafarabad Junction ,4 
JOP,Jaunpur City ,3 
SKN,Sri Krishna Nagar ,2 
HRPG,HarpalGanj ,1 
KEPR,Koiripur ,1 
LBA,Lambhua ,1 
SHNG,Shivnagar ,2 
MFKA,Musafir Khana ,2 
NHH,Nihalgarh ,3 
AKJ,AkbarGanj ,1 
HGH,Haidergarh ,2 
CDRL,Chhandrauli ,2 
AMG,Alamnagar ,3 
SAN,Sandila ,3 
BLM,Balamau Junction ,4 
AJI,Anjhi Shahabad ,2 
TLH,Tilhar ,2 
PMR,Pitambarpur ,3 
CH,Chandausi Junction ,3 
DPR,Dhampur ,1 
JUDW,Jagadhri Workshop ,2 
UBC,Ambala City ,3 
RPJ,Rajpura Junction ,3 
SIR,Sirhind Junction ,3 
GVG,Mandi Gobindgarh ,2 
KNN,Khanna ,3 
CHA,Chawapail ,2 
DOA,Doraha ,2 
SNL,Sanehwal ,3 
DDL,Dhandari Kalan ,3 
LDW,Ladhowal ,2 
PHR,Phillaur Junction ,3 
GRY,Goraya ,2 
PGW,Phagwara Junction ,3 
CEU,Chiheru ,2 
KRE,Kartarpur ,2 
NDLS,New Delhi ,16 
SNP,Sonipat ,5 
PNP,Panipat Junction ,5 
KUN,Karnal ,3 
KKDE,Kurukshetra Junction ,3 
GTJT,Getor Jagatpura ,2 
BU,Baswa ,2 
CKD,Charkhi Dadri ,1 
BNW,Bhiwani Junction ,3 
HSR,Hisar Junction ,6 
SSA,Sirsa ,2 
TWB,Talwandi ,1 
MOGA,Moga ,2 
JGN,Jagraon ,2 
JHL,Jakhal Junction ,3 
DUI,Dhuri Junction ,4 
DBRT,Dibrugarh Town ,3 
TSK,Tinsukia Junction ,3 
SLGR,Simaluguri Junction ,3 
MXN,Mariani Junction ,3 
FKG,Furkating Junction ,2 
DMV,Dimapur ,3 
DPU,Diphu ,2 
LMG,Lumding Junction ,5 
HJI,Hojai ,2 
CPK,Chaparmukh Junction ,3 
DES,Desari ,2 
CPR,Chhapra Junction ,5 
BUI,Ballia ,3 
GCT,Ghazipur City ,3 
FD,Faizabad Junction ,5 
KUE,Kursela ,2 
THB,Thana Bihpur Junction ,3 
MNE,Mansi Junction ,4 
KRBP,Khudiram B Pusa ,2 
DOL,Dholi ,2 
HJP,Hajipur Junction ,5 
SEE,Sonpur Junction ,4 
CI,Chhapra Kacheri ,3 
SV,Siwan Junction ,5 
DEOS,Deoria Sadar ,3 
BBK,Barabanki Junction ,4 
ON,Unnao Junction ,5 
ETW,Etawah Junction ,5 
FZD,Firozabad ,4 
HRS,Hathras Junction ,4 
ALJN,Aligarh Junction ,7 
DSA,Delhi Shahdara Junction ,4 
DR,Dadar Central ,8 
KSRA,Kasara ,4 
DVL,Devlali ,3 
CSN,Chalisgaon Junction ,4 
PC,Pachora Junction ,4 
SAV,Savda ,2 
NB,Nimbhora ,2 
RV,Raver ,3 
